YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1948,-6.6,-3.8,0,13.9,17.1,22.2,25.6,24.9,21.1,12.2,4.4,-2.5
1949,-8.1,-6.4,2.6,11.5,18.9,23.2,25.5,23.8,16.3,13.7,7.4,-1.2
1950,-8.4,-3.7,1.1,8,16.5,22,22.2,21.1,18.1,15,1.9,-4.2
1951,-6.5,-1.8,-0.8,7.8,17.6,19.3,23.7,23.7,16.7,11.8,1.4,-6.6
1952,-5.5,1.2,0.8,10.6,17,26.1,25.3,22.7,20,10.2,3.8,-3
1953,-4.1,-0.1,4.7,8,16.4,25.3,25.8,24.7,20,15.6,6.7,0.1
1954,-6.9,4.9,1.7,12.9,14.9,24.5,28.1,24.6,21.3,12.2,7.6,-0.2
1955,-4.1,-6.2,2.5,15.5,19.1,20.6,28.2,26.6,20.8,13,0.3,-4.8
1956,-6,-3.3,3.1,9.1,18.6,25.3,24.6,24.9,19.3,16.1,4.3,0.2
1957,-8,0.3,3.5,10.4,16.2,21.6,27.5,24.6,17.4,11,2.8,1.7
1958,-3,-6.5,2,10.5,18.7,20.9,22.8,24.3,19.7,13.9,5.6,-3
1959,-7.4,-3.9,4.1,10.4,17.3,23.3,23.7,26,18.3,10.4,0.6,1.6
1960,-6.4,-7.1,-4.9,11.8,16.7,21.1,24.3,24.2,19.8,13.4,5.2,-1.7
1961,-4.1,-0.5,4.1,8.6,15.6,22,25,23.9,16.8,13.2,3.3,-6.6
1962,-7.7,-3.9,-0.1,10.5,21.2,22.4,24.2,23.8,17.3,13.9,5.6,-2.1
1963,-10.2,-2.7,6,12.6,17.2,24.6,26.1,23.5,19.9,18,6.7,-7.9
1964,-1.9,-0.9,0.9,11.5,20,22.1,26.7,21.4,18.5,12,5.7,-3.8
1965,-5,-5.5,-2.8,11.8,20,22.1,24.3,23.4,16.1,14,5.8,2.7
1966,-7.5,-1.8,6.7,9,16.1,22.5,26.3,21.7,17.6,12.2,4.5,-2.1
1967,-3.6,-2,7.5,13.1,15.1,21.5,23.6,22,16.9,11.2,3.6,-2
1968,-5.2,-2.6,7,11.4,14.4,23.3,24.6,23.9,18.5,13.2,3,-4.5
1969,-7.4,-3,-0.3,11.7,17.3,19.9,25.7,24.2,19.8,10.1,5,-4
1970,-8.8,0,2.2,11.6,20,23.5,25.2,24.6,19,10.9,3.4,-1.2
1971,-7.9,-3.7,2.9,12.4,15.7,25.4,23.4,23.7,19.9,14.8,5.1,-1.7
1972,-6.7,-3.7,4.9,10.7,16.9,22.6,23.7,23.1,18.5,9.5,2.8,-6
1973,-5.2,-1.9,6.8,10.2,15.2,23,24.1,25.3,17.9,14,4.3,-5.2
1974,-7.3,-0.8,5.6,11.4,16.6,21,27.9,21.4,15.4,12.9,4.8,-1.7
1975,-5.3,-5.4,-0.1,9.6,19,22.5,26.1,26.5,17,14.5,5.3,-0.6
1976,-3.6,3,4.6,13.8,15.6,22.6,26.1,24.6,19.7,9.2,0.7,-4.4
1977,-10.4,0.7,7.8,15,21.2,23.9,27,22.4,19.6,11.7,4.3,-3.2
1978,-11.1,-9.1,2,11.4,16.5,23.2,25.1,24.2,21.7,12,4.2,-4.2
1979,-11.8,-8.2,4.3,10,16.6,22.6,24.4,24.3,19.3,10.9,2.1,-0.9
1980,-5.4,-6.5,0.5,10.4,16.4,22.8,26.5,24.7,18.2,9.4,4.6,-3.3
1981,-4.4,-2,4.9,14.1,14.8,22.5,24.8,21.6,18.2,10.1,4.8,-5.1
1982,-12.6,-5.2,1.5,8.7,17.2,18.6,25.1,22.5,18.2,12.8,2.8,-2.1
1983,-4,-1.1,2.9,6.4,13.6,20.9,26.3,27.5,19.4,11.2,3.6,-13.8
1984,-6.9,0.7,-0.9,8.1,14.3,22.1,23.9,24.7,16.6,11.2,4.1,-2.7
1985,-7.2,-4.7,6.3,12.7,17.4,19.5,23.4,20.8,16.7,11.5,-2,-8.7
1986,-1.4,-5.1,6,11.1,16.2,23.2,25.5,21.2,19.9,12.1,1.3,-1.4
1987,-1.9,2.7,6,13,19.6,23.5,25.4,21.6,18.2,9,6.3,-0.6
1988,-6.1,-4.5,4.8,10.3,19.6,24.6,24.7,25.1,19,9.5,4.4,-1.4
1989,0.2,-8.9,3.3,12.6,16.8,20.7,25.2,23.5,17.2,12.2,2.3,-8
1990,0.8,-0.4,5.9,10.5,14.7,23.1,23.8,24,20.6,11.8,6.1,-6
1991,-8.8,1.2,5.8,12.3,19.6,23.6,24.3,23.5,18.9,11.1,-0.8,-0.1
1992,0.3,2.6,6.4,10,16.5,20.8,21.7,20.2,17.8,12,1.9,-2.3
1993,-7,-5.5,2,8.7,16.3,21.1,24,24,15.4,10.5,1.6,-1.5
1994,-7.7,-5.1,5.6,10.7,18,23.4,22.9,22.6,19.5,13,5.2,-1.8
1996,-5.1,-0.3,0.6,9.6,15.2,22.6,23,22.7,17.3,12.2,0.5,-5.5
1997,-7.2,-1.4,5.3,7.6,14.5,23,25.1,23,19.2,12.2,1.8,-1.2
1998,-3.5,2.2,0.3,11.1,19.2,20.9,24.9,24.2,22,13.3,6.5,-0.6
1999,-5.2,2,4.2,10.9,16.8,21.5,26.9,22.7,17.7,11.8,8.3,-0.6
2000,-2.7,2.3,7,11,18.9,21.3,23.9,25.1,19.9,14.2,0.8,-9.1
2001,-3,-5.9,1.6,13.1,17.5,22,26.1,24.3,18.3,11.9,9.6,0
2002,-1,0,0.6,11.3,15.3,25.1,27.3,23.8,20.1,8.6,3.1,0
2003,-5.1,-4.6,4.2,11.9,15.3,20.6,25.8,25.6,17.4,13,3.3,-1
2004,-6.1,-3.9,6.4,12.2,17.7,20.4,22.8,21.1,21.3,12.7,5.6,-0.9
2005,-6.1,0.5,4.8,13.1,16.6,24.2,26.5,23.9,21.7,12.8,5.9,-4.2
2006,2.6,-1.3,4.1,13.8,17.9,23.7,26.6,23.6,16.8,10,4.4,0.7
2007,-5.4,-6,8,9.9,19.2,22.7,25.8,25.6,19.4,13.8,3.7,-5.1
2008,-6.7,-5.5,2.4,8.6,15.6,22.1,25.1,24.3,18.5,12.6,3.8,-5.4
2009,-6.2,-1.2,4.1,10,17.6,22.1,22.2,22.1,18.6,8.2,7.6,-6.5
2010,-8.5,-6.3,4.9,14.1,16.6,23.5,25.6,26.1,19.4,14,4.4,-4.1
2011,-7.6,-3.3,4,10.9,17,22.9,27.7,24.7,17.7,13.9,5.3,-1
2012,-0.6,-0.3,13.6,13.9,20.2,24.5,29.4,24.3,18.5,10.6,6,-1.6
2013,-3.5,-1.5,1.2,8.5,16.7,22.2,24.6,24.9,21.7,11.6,3.1,-5.4
2014,-6.1,-5.6,2.4,11,18,23.1,23.2,24.1,19.1,12.9,1.1,-0.2
2015,-2.3,-6.2,6.5,12.3,16.5,23,25,22.9,22,14.1,7.3,1.2
2016,-4.2,1.3,8.6,12.8,17.3,25.9,25.4,24.4,21.6,15,8.5,-2.8
2017,-2.4,3.2,6.3,12.4,17.3,24.3,26.7,22.5,21.5,12.9,4.9,-2.5
2018,-4.8,-4.4,4.7,7.2,21.5,25.3,25.3,24.5,20.8,10.9,1,-1.3
2019,-4.1,-7.9,2,12.7,16.6,23.5,25.9,24.1,23.1,9.4,3,0.2
2020,-3,-0.6,6.8,10.6,15.5,25.6,26.2,25.1,18.7,9.7,6.7,-1.2
