Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.29,-.04,-.38,-.12,-.01,-.82,-.50,-.27,-.16,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.34,.11,-.06,-.91,-.45,-.18,.09,.12,-.04,-.07,.57
1882,-.10,-.21,.00,-.30,-.04,.02,-1.41,-.27,-.14,-.06,-.03,.02,.04,.60
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.19,-.55,-.26,-.18,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.15,-.14,-1.31,-.64,-.46,-.14,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.52,-.68,-.45,-.07,-.19,-.33,-.15,.80
1886,-.31,-.43,-.19,-.56,-.19,-.21,-1.60,-.51,-.39,-.21,-.17,-.20,-.20,.57
1887,-.36,-.44,-.28,-.52,-.30,-.28,-1.77,-.51,-.28,-.30,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.10,-.29,-1.32,-.43,-.23,.06,.14,-.31,-.22,.14
1889,-.10,-.18,-.03,-.29,.08,-.16,-.70,-.22,-.26,.01,.15,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.14,-.56,-.26,-.27,-.46,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.07,-.21,-1.13,-.33,-.36,.00,-.15,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.29,-.08,-1.16,-.65,-.17,-.33,-.25,.03,-.21,.07
1893,-.31,-.48,-.15,-.51,-.36,-.04,-.70,-.55,-.46,-.42,-.30,.07,-.20,-.06
1894,-.30,-.39,-.21,-.32,-.33,-.24,-.96,-.32,-.18,-.49,-.17,-.14,-.35,-.40
1895,-.23,-.31,-.14,-.41,-.07,-.25,-.71,-.53,-.26,-.15,.01,-.19,-.32,-.60
1896,-.11,-.20,-.02,-.35,.10,-.15,-.91,-.37,-.22,.05,.15,-.14,-.13,.23
1897,-.11,-.16,-.05,-.35,.17,-.23,-.58,-.47,-.23,.13,.21,-.18,-.27,.38
1898,-.27,-.28,-.26,-.34,-.22,-.26,-1.16,-.21,-.23,-.18,-.26,-.27,-.21,.36
1899,-.18,-.21,-.14,-.24,-.12,-.18,-1.08,-.10,-.14,-.16,-.08,-.15,-.22,.56
1900,-.08,-.09,-.06,-.20,.17,-.30,-.57,-.14,-.15,.08,.26,-.28,-.29,.25
1901,-.16,-.13,-.18,-.17,-.04,-.30,-.45,-.10,-.14,-.06,-.01,-.27,-.33,.24
1902,-.28,-.33,-.22,-.53,-.04,-.35,-1.43,-.51,-.32,-.02,-.05,-.28,-.43,-.07
1903,-.37,-.38,-.37,-.47,-.28,-.39,-.31,-.43,-.55,-.23,-.34,-.35,-.40,-.49
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.21,-.60,-.55,-.44,-.48,-.37,-.49,-1.31
1905,-.26,-.29,-.22,-.41,-.08,-.36,-.09,-.23,-.62,-.12,-.04,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.26,-.19,-.23,-.30,-.07,-.39,-.22,-.16,-.20,-.22,-.71
1907,-.39,-.48,-.29,-.59,-.31,-.29,-.61,-.73,-.51,-.32,-.29,-.21,-.37,-1.20
1908,-.43,-.47,-.40,-.49,-.44,-.36,-.28,-.55,-.51,-.43,-.45,-.29,-.48,.68
1909,-.49,-.50,-.47,-.54,-.48,-.44,-.79,-.63,-.43,-.45,-.51,-.37,-.52,-.56
1910,-.44,-.45,-.43,-.42,-.49,-.38,-.61,-.25,-.49,-.49,-.48,-.33,-.45,.16
1911,-.44,-.43,-.45,-.43,-.42,-.48,-.33,-.43,-.47,-.43,-.41,-.44,-.52,.05
1912,-.36,-.47,-.24,-.60,-.18,-.37,-.56,-.80,-.50,-.27,-.08,-.37,-.29,-1.63
1913,-.35,-.43,-.26,-.45,-.27,-.35,-.53,-.34,-.50,-.40,-.14,-.28,-.40,-1.03
1914,-.16,-.20,-.11,-.26,-.07,-.18,-.40,-.17,-.28,-.12,-.01,-.15,-.18,-.36
1915,-.15,-.15,-.13,-.24,-.02,-.22,-.63,-.17,-.18,-.02,-.01,-.15,-.23,-1.98
1916,-.36,-.43,-.31,-.38,-.45,-.23,-.51,-.55,-.24,-.51,-.40,-.23,-.17,-1.05
1917,-.46,-.59,-.36,-.51,-.64,-.19,-.85,-.51,-.43,-.70,-.58,-.23,-.09,.07
1918,-.30,-.40,-.20,-.41,-.34,-.14,-1.05,-.28,-.34,-.39,-.28,-.06,-.23,-.28
1919,-.28,-.36,-.20,-.44,-.20,-.22,-.74,-.57,-.30,-.24,-.17,-.15,-.32,.20
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.05,-.21,-.34,-.39,-.13,-.19,-.48,-1.14
1921,-.19,-.12,-.26,.00,-.26,-.31,-.04,.16,-.09,-.30,-.21,-.23,-.38,-.84
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.35,-.41,-.13,-.33,-.32,-.24,-.28,-.28
1923,-.27,-.23,-.31,-.16,-.30,-.34,.13,-.16,-.25,-.33,-.28,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.14,-.26,-.43,.42,-.26,-.22,-.27,-.25,-.39,-.45,-.53
1925,-.22,-.14,-.30,-.05,-.24,-.37,-.11,.17,-.18,-.28,-.20,-.24,-.55,-.86
1926,-.11,.01,-.22,.02,.01,-.40,.55,.15,-.21,.00,.02,-.35,-.45,-.63
1927,-.22,-.14,-.29,-.13,-.16,-.38,.00,-.22,-.12,-.15,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.07,-.16,-.39,.69,-.18,-.22,-.15,-.16,-.29,-.48,-2.12
1929,-.36,-.34,-.38,-.38,-.28,-.45,.13,-.62,-.38,-.28,-.28,-.43,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.11,-.42,.52,.04,-.10,-.10,-.12,-.33,-.46,-2.59
1931,-.10,.05,-.22,.01,.08,-.43,.55,-.05,-.14,.10,.05,-.42,-.40,-.41
1932,-.16,-.06,-.26,.03,-.16,-.35,.47,.19,-.21,-.18,-.14,-.21,-.53,-.99
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.17,-.47,-.12,-.28,-.28,-.22,-.48,-1.14
